Year, LDCurve, Hour, Meter, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "6.6 kV Losses", "0.22 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "6.6 kV Line Loss", "0.22 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "6.6 kV Load Loss", "0.22 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "6.6 kV No Load Loss", "0.22 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "6.6 kV Load Energy", "0.22 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25"
0, , 0, "FEEDER1"     ,        103,          2,        410,        410,        102,         29,        410,        426,          0,          0,          0,          0,          0,          1,          2,          5,          0,          1,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,         28,          1,        114,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         70,         33,          0,          0,          0,          0,          0
0, , 0, "FEEDER2"     ,         57,         -5,        230,        231,         57,          7,        229,        231,          0,          0,          0,          0,          0,          1,          1,          4,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -0,         14,         -0,         56,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,         27,          0,          0,          0,          0,          0
0, , 0, "FEEDER1"     ,        206,          2,        414,        414,        206,         60,        414,        432,          0,          0,          0,          0,          1,          3,          2,          5,          1,          3,          0,          0,          2,          0,          1,          0,          1,          0,          1,          0,          1,         60,          1,        127,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        138,         68,          0,          0,          0,          0,          0
0, , 0, "FEEDER2"     ,         96,         -7,        230,        231,         95,         15,        229,        231,          0,          0,          0,          0,          0,          1,          1,          4,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -0,         24,         -0,         56,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         40,         55,          0,          0,          0,          0,          0
0, , 0, "FEEDER1"     ,        309,          4,        414,        414,        309,         92,        414,        433,          0,          0,          0,          0,          1,          4,          2,          5,          1,          4,          0,          0,          2,          0,          1,          0,          1,          0,          1,          0,          1,         92,          1,        129,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        208,        101,          0,          0,          0,          0,          0
0, , 0, "FEEDER2"     ,        133,         -7,        230,        231,        132,         23,        229,        231,          0,          0,          0,          0,          1,          2,          1,          4,          1,          2,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -0,         32,         -0,         56,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         51,         82,          0,          0,          0,          0,          0
0, , 1, "FEEDER1"     ,        414,          4,        417,        417,        413,        124,        417,        435,          0,          0,          0,          0,          2,          5,          2,          5,          2,          5,          0,          0,          2,          0,          1,          0,          1,          0,          1,          0,          1,        124,          1,        129,          2,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        279,        135,          0,          0,          0,          0,          0
0, , 1, "FEEDER2"     ,        172,         -8,        230,        231,        171,         31,        229,        231,          0,          0,          0,          0,          1,          2,          1,          4,          1,          2,          0,          0,          1,          0,          1,          0,          1,          0,          1,          0,         -0,         41,         -0,         56,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         62,        109,          0,          0,          0,          0,          0
0, , 1, "FEEDER1"     ,        518,          5,        417,        417,        517,        153,        417,        435,          0,          0,          0,          0,          2,          7,          2,          5,          2,          7,          0,          0,          2,          0,          2,          0,          2,          0,          2,          0,          2,        154,          1,        129,          2,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        348,        169,          0,          0,          0,          0,          0
0, , 1, "FEEDER2"     ,        229,        -10,        231,        231,        228,         38,        230,        231,          0,          0,          0,          0,          1,          3,          1,          4,          1,          3,          0,          0,          1,          0,          1,          0,          1,          0,          1,          0,         -0,         51,          0,         56,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         92,        136,          0,          0,          0,          0,          0
0, , 1, "FEEDER1"     ,        621,          6,        417,        417,        620,        186,        417,        435,          0,          0,          0,          0,          3,          8,          2,          5,          3,          8,          0,          0,          2,          0,          2,          0,          2,          0,          2,          0,          2,        187,          1,        132,          3,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        417,        203,          0,          0,          0,          0,          0
0, , 1, "FEEDER2"     ,        287,        -12,        231,        231,        286,         46,        230,        231,          0,          0,          0,          0,          1,          4,          1,          4,          1,          4,          0,          0,          1,          0,          1,          0,          1,          0,          1,          0,         -0,         62,          0,         56,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        122,        164,          0,          0,          0,          0,          0
0, , 1, "FEEDER1"     ,        723,          7,        417,        417,        723,        218,        417,        435,          0,          0,          0,          0,          3,          9,          2,          5,          3,          9,          0,          0,          2,          0,          3,          0,          3,          0,          3,          0,          2,        220,          1,        132,          3,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        486,        237,          0,          0,          0,          0,          0
0, , 1, "FEEDER2"     ,        345,        -14,        231,        231,        343,         54,        230,        231,          0,          0,          0,          0,          2,          5,          1,          4,          2,          5,          0,          0,          1,          0,          1,          0,          1,          0,          1,          0,         -0,         73,          0,         56,          2,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        152,        191,          0,          0,          0,          0,          0
0, , 2, "FEEDER1"     ,        829,          8,        422,        422,        828,        250,        421,        440,          0,          0,          0,          0,          4,         10,          2,          5,          4,         10,          0,          0,          2,          0,          3,          1,          3,          0,          3,          0,          3,        252,          1,        132,          4,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        558,        270,          0,          0,          0,          0,          0
0, , 2, "FEEDER2"     ,        402,        -17,        231,        231,        400,         61,        230,        232,          0,          0,          0,          0,          2,          6,          1,          4,          2,          6,          0,          0,          1,          0,          2,          0,          2,          0,          2,          0,         -0,         84,          0,         56,          2,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        182,        218,          0,          0,          0,          0,          0
0, , 2, "FEEDER1"     ,        936,          8,        430,        430,        936,        280,        430,        445,          0,          0,          0,          0,          4,         12,          2,          6,          4,         12,          0,          0,          2,          0,          3,          1,          3,          0,          3,          0,          3,        284,          1,        132,          4,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        632,        303,          0,          0,          0,          0,          0
0, , 2, "FEEDER2"     ,        439,        -18,        231,        231,        437,         68,        230,        232,          0,          0,          0,          0,          2,          7,          1,          4,          2,          7,          0,          0,          1,          0,          2,          0,          2,          0,          2,          0,         -0,         93,          0,         56,          2,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        193,        245,          0,          0,          0,          0,          0
0, , 2, "FEEDER1"     ,       1038,         11,        430,        430,       1038,        313,        430,        445,          0,          0,          0,          0,          4,         13,          2,          6,          4,         13,          0,          0,          2,          0,          4,          1,          4,          0,          4,          0,          4,        315,          1,        132,          4,          0,          0,          0,          0,          0,          0,          4,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        701,        337,          0,          0,          0,          0,          0
0, , 2, "FEEDER2"     ,        477,        -18,        231,        231,        475,         76,        230,        232,          0,          0,          0,          0,          2,          7,          1,          4,          2,          7,          0,          0,          1,          0,          2,          0,          2,          0,          2,          0,         -0,        101,          0,         56,          2,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        203,        272,          0,          0,          0,          0,          0
0, , 2, "FEEDER1"     ,       1144,         11,        430,        430,       1144,        343,        430,        445,          0,          0,          0,          0,          5,         15,          2,          6,          5,         15,          0,          0,          2,          0,          4,          1,          4,          0,          4,          0,          4,        346,          1,        132,          5,          0,          0,          0,          0,          0,          0,          4,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        773,        370,          0,          0,          0,          0,          0
0, , 2, "FEEDER2"     ,        515,        -18,        231,        231,        513,         84,        230,        232,          0,          0,          0,          0,          2,          7,          1,          4,          2,          7,          0,          0,          1,          0,          2,          0,          2,          0,          2,          0,         -0,        110,          0,         56,          2,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        214,        299,          0,          0,          0,          0,          0
0, , 3, "FEEDER1"     ,       1247,         13,        430,        430,       1246,        376,        430,        445,          0,          0,          0,          0,          5,         16,          2,          6,          5,         16,          0,          0,          2,          0,          5,          1,          5,          0,          5,          0,          4,        379,          1,        132,          5,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        843,        404,          0,          0,          0,          0,          0
0, , 3, "FEEDER2"     ,        572,        -20,        231,        231,        569,         92,        230,        232,          0,          0,          0,          0,          3,          8,          1,          4,          3,          8,          0,          0,          1,          0,          2,          0,          2,          0,          2,          0,         -0,        120,          0,         56,          3,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        244,        326,          0,          0,          0,          0,          0
0, , 3, "FEEDER1"     ,       1348,         13,        430,        430,       1347,        406,        430,        445,          0,          0,          0,          0,          6,         17,          2,          6,          6,         17,          0,          0,          2,          0,          5,          1,          5,          0,          5,          0,          5,        410,          1,        132,          6,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        910,        437,          0,          0,          0,          0,          0
0, , 3, "FEEDER2"     ,        630,        -22,        231,        231,        627,         99,        230,        232,          0,          0,          0,          0,          3,          9,          1,          4,          3,          9,          0,          0,          1,          0,          2,          0,          2,          0,          2,          0,         -0,        131,          0,         56,          3,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        274,        353,          0,          0,          0,          0,          0
0, , 3, "FEEDER1"     ,       1448,         14,        430,        430,       1447,        437,        430,        445,          0,          0,          0,          0,          6,         18,          2,          6,          6,         18,          0,          0,          2,          0,          5,          1,          5,          0,          5,          0,          5,        441,          1,        132,          6,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        978,        469,          0,          0,          0,          0,          0
0, , 3, "FEEDER2"     ,        688,        -25,        231,        232,        684,        107,        230,        232,          0,          0,          0,          0,          3,         10,          1,          4,          3,         10,          0,          0,          1,          0,          3,          1,          3,          0,          3,          0,         -0,        142,          0,         56,          3,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        304,        381,          0,          0,          0,          0,          0
